NAME,COUNTYFP,GEOID
Acton,17,2501700380
Ashland,17,2501702130
Auburn,27,2502702760
Avon,21,2502102935
Ayer,17,2501703005
Barre,27,2502703740
Bedford,17,2501704615
Bellingham,21,2502104930
Berlin,27,2502705490
Billerica,17,2501705805
Blackstone,27,2502706015
Bolton,27,2502706365
Brimfield,13,2501308470
Brockton,23,2502309000
Brookfield,27,2502709105
Burlington,17,2501709840
Canton,21,2502111315
Carlisle,17,2501711525
Charlton,27,2502712715
Chelmsford,17,2501713135
Clinton,27,2502714395
Dedham,21,2502116495
Douglas,27,2502717300
Dover,21,2502117405
Dudley,27,2502717685
East Bridgewater,23,2502318455
East Brookfield,27,2502718560
Easton,5,2500520100
Foxborough,21,2502124820
Framingham,17,2501724960
Franklin Town,21,2502125172
Gardner,27,2502725485
Grafton,27,2502726430
Hardwick,27,2502728740
Harvard,27,2502728950
Holbrook,21,2502130455
Holland,13,2501330665
Holliston,17,2501730700
Hopedale,27,2502730945
Hopkinton,17,2501731085
Hubbardston,27,2502731435
Lancaster,27,2502734165
Leicester,27,2502734795
Leominster,27,2502735075
Lexington,17,2501735215
Lincoln,17,2501735425
Marlborough,17,2501738715
Maynard,17,2501739625
Medfield,21,2502139765
Medway,21,2502139975
Mendon,27,2502740255
Milford,27,2502741165
Millbury,27,2502741340
Millis,21,2502141515
Millville,27,2502741585
Milton,21,2502141690
Monson,13,2501342145
Natick,17,2501743895
Needham,21,2502144105
New Braintree,27,2502745105
Newton,17,2501745560
Norfolk,21,2502146050
North Brookfield,27,2502747135
Northborough,27,2502746820
Northbridge,27,2502746925
Oakham,27,2502750670
Oxford,27,2502751825
Palmer Town,13,2501352144
Plainville,21,2502154100
Randolph Town,21,2502156000
Rutland,27,2502758825
Sharon,21,2502160785
Sherborn,17,2501761380
Shirley,17,2501761590
Southborough,27,2502763165
Southbridge Town,27,2502763345
Spencer,27,2502766105
Stoughton,21,2502167945
Sturbridge,27,2502768155
Sudbury,17,2501768260
Sutton,27,2502768610
Upton,27,2502771480
Uxbridge,27,2502771620
Wales,13,2501372390
Walpole,21,2502172495
Waltham,17,2501772600
Ware,15,2501572880
Warren,27,2502773090
Wayland,17,2501773790
Webster,27,2502773895
West Bridgewater,23,2502375260
West Brookfield,27,2502775400
Westborough,27,2502775015
Westford,17,2501776135
Westminster,27,2502777010
Weston,17,2501777255
Westwood,21,2502178690
Worcester,27,2502782000
Wrentham,21,2502182315
Lexington,25-35215
Burlington,25-09840
